_id,name,province,city,district,phones,month_sales,min_price,delivery_fee_tips,delivery_time,opening_hours,recommend_reasons,updated
630ddc40b1742fcbf7552a18,绝味鸭脖（沙井上南大街店）,广东省,深圳市,宝安区,15813722485,10099,32.0,免配送费,40,周一至周日 09:00-次日02:05,黑鸭鸭脖赞赞赞！,2022-08-30 17:45:36
630ddc46b1742fcbf7552a19,沙县小吃(上南白龙街店),广东省,深圳市,宝安区,18127034419,50099,15.0,配送¥1.2,40,周一至周日 00:00-23:55,爽口云吞是我喜欢的味道,2022-08-30 17:45:42
630ddc4cb1742fcbf7552a1a,韩班长.炒牛肉.扣肉饭,广东省,深圳市,宝安区,18822882495,70099,0.0,免配送费,40,周一至周日 10:00-23:30,经常点小米椒炒牛肉,2022-08-30 17:45:48
630ddc53b1742fcbf7552a1b,茶初遇(上南店),广东省,深圳市,宝安区,15918305454,28,15.0,免配送费,40,周一至周日 13:00-23:00,"好好喝,芒果超多",2022-08-30 17:45:55
630ddc5bb1742fcbf7552a1c,福可儿·手造鲜果茶(沙井上南店),广东省,深圳市,宝安区,17727926396,20099,15.0,配送¥0.2,40,周一至周日 11:00-次日01:00,独爱芝芝福顶葡萄,2022-08-30 17:46:03
630ddc62b1742fcbf7552a1d,德兴港式茶餐厅,广东省,深圳市,宝安区,0755-27294799,20099,20.0,配送¥1.2,40,周一至周日 09:30-20:50,很美味，一如既往地优秀,2022-08-30 17:46:10
630ddc6db1742fcbf7552a1e,尊宝比萨(上南大街店),广东省,深圳市,宝安区,075529792642,70099,25.0,免配送费,39,周一至周日 09:10-22:00,"好吃,一如既往的好,点披萨都是尊宝",2022-08-30 17:46:21
630ddc73b1742fcbf7552a1f,湖南常德津市牛肉粉(上南汇聚店),广东省,深圳市,宝安区,13149913911,10099,20.0,免配送费,40,周一至周日 07:35-23:00,米粉味道好极了,2022-08-30 17:46:27
630ddc7ab1742fcbf7552a20,波客派炸鸡汉堡(沙井上南大街店),广东省,深圳市,宝安区,0755-23502153,100099,20.0,免配送费,40,周一至周日 10:00-次日04:55,"鸡味道很好,超级棒,很好,比较喜欢",2022-08-30 17:46:34
630ddc82b1742fcbf7552a21,开心花甲粉·螺蛳粉·卤粉·小吃,广东省,深圳市,宝安区,18926076968;13100583173,50099,15.0,配送¥1.7,40,周一至周日 08:30-次日04:00,无骨招牌酸菜鱼粉很正宗,2022-08-30 17:46:42
630ddc87b1742fcbf7552a22,戴哥炸鸡,广东省,深圳市,宝安区,13714097036,23,20.0,满28免配送费,40,周一至周日 17:00-次日00:00,惊艳味蕾，我爱了,2022-08-30 17:46:47
630ddc8db1742fcbf7552a23,致青春东北烧烤鹤岗小串(上南店),广东省,深圳市,宝安区,13410155137,8,20.0,免配送费,40,周一至周日 18:00-次日03:00,一直很喜欢这家的炭烤鸡中翅,2022-08-30 17:46:53
630ddc94b1742fcbf7552a24,正宗长沙臭豆腐(上南店),广东省,深圳市,宝安区,13590363167,83,20.0,配送¥1.7,40,周一至周日 00:00-00:30，14:00-23:55,"酸辣粉,中辣,好香",2022-08-30 17:47:00
630ddc9cb1742fcbf7552a25,陈记湛江牛腩鸭仔饭(上南店),广东省,深圳市,宝安区,13725591103,38,20.0,免配送费,40,周一至周日 10:50-20:00,好吃量大，很过瘾,2022-08-30 17:47:08
630ddca2b1742fcbf7552a26,杨小卤·卤味快餐·柠檬鸡爪(黄埔市场店),广东省,深圳市,宝安区,17724726340,7,25.0,免配送费,40,周一至周日 16:30-20:00,惊艳的味道不可思议,2022-08-30 17:47:14
630ddca9b1742fcbf7552a27,民间瓦罐汤饭·快餐(上南店),广东省,深圳市,宝安区,15766199064,36,20.0,免配送费,40,周一至周日 10:30-21:00,不要犹豫，直接买,2022-08-30 17:47:21
630ddcb0b1742fcbf7552a28,耀家小馆·牛肉粉·榨粉·肠粉,广东省,深圳市,宝安区,15915394858,69,20.0,免配送费,40,周一至周日 06:50-11:50，17:00-23:00,很好吃，小朋友也爱吃,2022-08-30 17:47:28
630ddcb6b1742fcbf7552a29,真知味·炭炉烤牛杂王(上南店),广东省,深圳市,宝安区,13326571291,16,20.0,免配送费,40,周一至周日 16:00-次日02:00,喜欢这个味道，必须点赞,2022-08-30 17:47:34
630ddcbeb1742fcbf7552a2a,周记羊肉烩面店 现炒快餐(黄埔店),广东省,深圳市,宝安区,13265222265,48,20.0,免配送费,40,周一至周日 10:10-次日00:00,热情掌柜,2022-08-30 17:47:42
630ddcc3b1742fcbf7552a2b,小茶驾到·开运茶研所(沙井黄埔店),广东省,深圳市,宝安区,13392175627,13,15.0,免配送费,40,周一至周日 10:00-23:00,第一次喝，好好喝哦！,2022-08-30 17:47:47
630ddccbb1742fcbf7552a2c,秦琴炸串,广东省,深圳市,宝安区,17666252491,64,20.0,配送¥0.6,40,周一至周日 16:00-次日01:00,热情掌柜,2022-08-30 17:47:55
630ddcd2b1742fcbf7552a2d,海味炭烤(黄埔店),广东省,深圳市,宝安区,15814056156,94,20.0,配送¥1.8,40,周一至周日 17:00-次日02:30,非常好吃，拯救不开心,2022-08-30 17:48:02
630ddcd7b1742fcbf7552a2e,贡茶(沙井旗舰店),广东省,深圳市,宝安区,17879833347,10099,15.0,配送¥0.6,40,周一至周日 11:00-次日01:30,"招牌珍珠奶茶大杯超值,熟悉的味道",2022-08-30 17:48:07
630ddcdeb1742fcbf7552a2f,来一煲麻辣烫(黄埔店),广东省,深圳市,宝安区,13714914186,20099,20.0,免配送费,40,周一至周日 11:50-14:00，17:00-次日00:35,"菜品很新鲜,味道超赞,太好吃啦",2022-08-30 17:48:14
630ddce4b1742fcbf7552a30,老汤卤坊,广东省,深圳市,宝安区,15766003826,29,15.0,配送¥0.6,40,周一至周日 17:00-次日00:00,食材品质非常高，推荐！,2022-08-30 17:48:20
630ddceab1742fcbf7552a31,冰醇慕茗·奶茶·果汁·小吃,广东省,深圳市,宝安区,18819008440,22,20.0,免配送费,40,周一至周日 24小时营业,超大一杯，超级爽,2022-08-30 17:48:26
630ddcf0b1742fcbf7552a32,吴川森记炖品·便餐(沙井黄埔店),广东省,深圳市,宝安区,13510456010;13113868937,45,20.0,免配送费,40,周一至周日 11:00-次日00:00,"大赞虫草花乌鸡汤,推荐",2022-08-30 17:48:32
630ddcf6b1742fcbf7552a33,杨姐炸串,广东省,深圳市,宝安区,15919831370,11,20.0,配送¥0.6,40,周一至周日 17:00-次日01:30,热情掌柜,2022-08-30 17:48:38
630ddcfdb1742fcbf7552a34,久久丫鸭脖·卤味·凉菜(万科星城店),广东省,深圳市,宝安区,13265989985,12,25.0,免配送费,40,周一至周日 10:00-23:40,非常好吃，吃了还想吃！,2022-08-30 17:48:45
630ddd06b1742fcbf7552a35,有京面·老北京炸酱面(深圳沙井星城华府店),广东省,深圳市,宝安区,19926814693;13510610847,6,20.0,配送¥0.7,40,周一至周日 10:00-21:50,非常好吃，吃了还想吃！,2022-08-30 17:48:54
630ddd0cb1742fcbf7552a36,余百年·烧腊(沙井店),广东省,深圳市,宝安区,19168904482,60099,20.0,免配送费,40,周一至周日 10:00-20:30,"经济实惠好吃,#脆皮烧鸭饭",2022-08-30 17:49:00
630ddd12b1742fcbf7552a37,广隆蛋挞王(万科星城店),广东省,深圳市,宝安区,18026963370,29,27.0,免配送费,40,周一至周日 08:00-22:00,推荐朋友吃，非常不错,2022-08-30 17:49:06
630ddd18b1742fcbf7552a38,成富牛杂·牛腩粉·牛杂面(沙井新桥店),广东省,深圳市,宝安区,13510340280,26,18.0,免配送费,40,周一至周日 16:50-次日01:00,萝卜牛腩真心美味,2022-08-30 17:49:12
630ddd1eb1742fcbf7552a39,奈雪的茶(深圳沙井万科星城店),广东省,深圳市,宝安区,0755-33940674;17722697525,32,20.0,配送¥3.7,40,周一至周日 10:00-22:00,物超所值，推荐给很多人了,2022-08-30 17:49:18
630ddd24b1742fcbf7552a3a,五味草堂五谷渔粉(上星商业街店),广东省,深圳市,宝安区,18898196393,15,15.0,配送¥1.6,41,周一至周日 09:00-次日00:00,口感饱满，不容错过,2022-08-30 17:49:24
630ddd2ab1742fcbf7552a3b,广味烧腊·烧鸡·烧鸭,广东省,深圳市,宝安区,13714453536,14,20.0,免配送费,40,周一至周日 17:00-23:00,"烧鸭饭时蔬#,分量很足,味道超级棒",2022-08-30 17:49:30
630ddd30b1742fcbf7552a3c,益禾茶茶(上星步行街店),广东省,深圳市,宝安区,18382396323;13163770810,8,20.0,免配送费,41,周一至周日 10:15-22:00,"好喝有好看,超喜欢这家的奶茶",2022-08-30 17:49:36
630ddd35b1742fcbf7552a3d,老碗会·陕西手工面(沙井天虹店),广东省,深圳市,宝安区,0755-23592956,10099,20.0,免配送费,40,周一至周日 10:00-21:30,"非常好吃,最喜欢肉夹馍",2022-08-30 17:49:41
630ddd3bb1742fcbf7552a3e,巴比鲜包·小笼包·粥·豆浆(万科新城店),广东省,深圳市,宝安区,15323703001,11,15.0,免配送费,40,周一至周日 06:00-20:00,很美味，一如既往地优秀,2022-08-30 17:49:47
630ddd44b1742fcbf7552a3f,釜山·韩式炸鸡(星北店),广东省,深圳市,宝安区,13728616651,43,0.0,免配送费,40,周一至周日 10:30-次日02:00,热情掌柜,2022-08-30 17:49:56
630ddd49b1742fcbf7552a40,轻甜·低糖低卡甜品蛋(沙井形色城店),广东省,深圳市,宝安区,15657907816;18755193284,10099,24.0,配送¥0.9,42,周一至周日 10:00-22:00,"奶油甜而不腻,太好吃啦,包装也很好",2022-08-30 17:50:01
630ddd4fb1742fcbf7552a41,河南牛肉胡辣汤(沙井新二店),广东省,深圳市,宝安区,15188448226,32,20.0,免配送费,40,周一至周日 07:00-13:00，17:25-21:00,热情掌柜,2022-08-30 17:50:07
630ddd55b1742fcbf7552a42,有点辣·湖南大碗菜,广东省,深圳市,宝安区,15323480311,80099,20.0,免配送费,40,周一至周日 24小时营业,"餐品分量:太好吃了,下次再来",2022-08-30 17:50:13
630ddd5bb1742fcbf7552a43,东北手工饺子(上星店),广东省,深圳市,宝安区,13434728189;17820212727,18,20.0,配送¥0.5,40,周一至周日 10:00-次日00:00,热情掌柜,2022-08-30 17:50:19
630ddd61b1742fcbf7552a44,八喜冰淇淋蛋糕(沙井店),广东省,深圳市,宝安区,15338851986,30099,0.0,免配送费,45,周一至周日 24小时营业,蛋糕很漂亮太赞了奈斯值得推荐,2022-08-30 17:50:25
630ddd68b1742fcbf7552a45,胖主厨·脆皮飄香鴨(沙井庄村分店),广东省,深圳市,宝安区,13420927431,20,20.0,免配送费,40,周一至周日 10:30-23:00,量足口味佳，性价比超高哦！,2022-08-30 17:50:32
630ddd6db1742fcbf7552a46,功夫豆小吃豆浆肉夹馍凉面,广东省,深圳市,宝安区,17302633469,0,20.0,配送¥2.2,46,周一至周日 10:00-22:00,配送及时，味道很赞,2022-08-30 17:50:37
630ddd74b1742fcbf7552a47,思甜烘焙,广东省,深圳市,宝安区,15989521452,0,20.0,免配送费,43,周一至周日 09:00-22:00,非常用心，特别好,2022-08-30 17:50:44
630ddd7bb1742fcbf7552a48,悠然品·港式美食.奶茶.甜品(上星店),广东省,深圳市,宝安区,13360524490,3,20.0,免配送费,45,周一至周日 12:30-21:00,非常优秀的美食体验,2022-08-30 17:50:51
630ddd85b1742fcbf7552a49,回味鸡·炖汤·煲仔饭(沙井总店),广东省,深圳市,宝安区,0755-27278816,50099,20.0,配送¥0.7,40,周一至周日 09:00-21:25,"饭很好吃,色香味俱全",2022-08-30 17:51:01
