province,city,district,name,score,comment_number,month_sales,avg_price,category,delivery_time,delivery_tip,delivery_type,in_time_delivery_percent,min_price,shipping_fee,lat,lng,hours,buz_code
云南省,昆明市,五华区,Acidulé·一克糖（法式甜点，咖啡，披萨）,0.0,37,月售45,人均 ¥68,甜点饮品,33分钟,由美团快送提供配送服务,0,0,起送 ¥25,配送 ¥1,25.033836,102.711203,09:00-20:30,0
浙江省,温州市,瓯海区,万佳乐超市,0.0,6,月售26,,超市便利,40分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥25,配送 ¥5,27.856157,120.675015,09:00-22:55,1
广东省,深圳市,宝安区,绝味鸭脖（松岗永辉店）,4.6,245,月售505,人均 ¥56,美食 卤味熟食,40分钟,,1,100,起送 ¥28,夜间配送 ¥5,22.765227,113.832776,08:30-22:10,0
广东省,东莞市,虎门镇,乐园面包（虎门店）,0.0,21,月售26,人均 ¥26,美食,36分钟,,1,0,起送 ¥28,配送 ¥4.3,22.812054,113.675242,07:00-22:25,0
黑龙江省,哈尔滨市,南岗区,鲜气飘飘(麻辣海鲜),5.0,64,月售43,,美食 海鲜,50分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥28,免配送费,45.698397,126.584022,"00:00-03:00,13:00-23:59",0
广东省,云浮市,罗定市,瑞幸咖啡luckincoffee(罗定人民体育场店),5.0,501,月售500+,人均 ¥20,甜点饮品,35分钟,由商家提供配送服务,0,100,起送 ¥29,配送 ¥3,22.767206,111.582739,08:00-21:00,0
陕西省,咸阳市,渭城区,思追便利店,0.0,2,月售49,,超市便利,30分钟,由商家提供配送服务,0,0,起送 ¥29,配送 ¥3,34.336797,108.733915,09:30-23:00,1
天津市,天津市,和平区,瑞幸咖啡luckincoffee(世纪都会店),4.8,40,月售195,人均 ¥19,甜点饮品,44分钟,由商家提供配送服务,0,0,起送 ¥29,配送 ¥3,39.117043,117.199215,08:00-18:00,0
新疆维吾尔自治区,乌鲁木齐市,天山区,鱼闻乐•椒麻鱼·,4.2,227,月售100+,人均 ¥41,美食 新疆菜,65分钟,由商家提供配送服务,0,0,起送 ¥29,免配送费,43.788254,87.633851,10:45-23:30,0
四川省,德阳市,广汉市,干饭人（麻辣烫•生蚝）,0.0,45,月售39,,美食 麻辣烫/关东煮,40分钟,由商家提供配送服务,0,0,起送 ¥29.99,免配送费,30.90894,104.2255,"00:00-02:00,11:00-13:30,16:40-23:59",0
广东省,珠海市,金湾区,吃货接班人,4.6,81,月售100+,人均 ¥34,美食 烧烤,41分钟,,1,0,起送 ¥30,配送 ¥2,22.0283,113.24037,19:30-23:50,0
广东省,广州市,黄埔区,花椒情·海鲜大咖·肉蟹煲·花椒鱼,0.0,60,月售74,,美食 川菜,56分钟,,1,0,起送 ¥30,免配送费,23.099217,113.550304,"11:00-14:30,17:00-21:05",0
河北省,石家庄市,深泽县,杰田大排档,0.0,12,月售16,,美食 烧烤,30分钟,,1,,起送 ¥30,配送 ¥3,38.188036,115.246236,"00:00-02:00,06:00-23:59",0
