麻辣烫/关东煮,227
螺蛳粉/米粉米线,228
卤味熟食/米粉米线,229
米粉米线,230
螺蛳粉/其他小吃,231
米粉米线,232
螺蛳粉/其他快餐,233
麻辣烫/关东煮,234
螺蛳粉/米粉米线,235
米粉米线,236
包子汤包,237
豆浆油条/胡辣汤,238
烧饼/馅饼/手抓饼,239
包子汤包/其他小吃,240
粥店/小龙虾,241
潮汕砂锅粥,242
凉皮/凉粉/肉夹馍,243
饺子,244
潮汕砂锅粥/饺子,245
包子汤包,246
馄饨抄手/沙县小吃,247
豆浆油条/盖浇饭,248
粥店/饺子,249
饺子,250
粥店,251
包子汤包/豆浆油条,252
盖浇饭/粥店,253
潮汕砂锅粥,254
包子汤包,255
饺子,256
锅贴,257
面馆/肉夹馍,258
包子汤包/包子汤包,259
包子汤包/其他快餐,260
潮汕砂锅粥/砂锅,261
面馆/饺子,262
馄饨抄手/其他快餐,263
烧烤/饺子,264
奶茶果汁/烧饼/馅饼/手抓饼,265
饺子,266
煎饼/煎饼,267
馄饨抄手/面馆,268
饺子,269
热干面,270
面馆,271
面馆,272
面馆,273
重庆小面,274
兰州拉面,275
面馆,276
兰州拉面/面馆,277
兰州拉面,278
面馆,279
面馆,280
兰州拉面,281
面馆,282
面馆,283
重庆小面,284
兰州拉面/兰州拉面,285
面馆/其他快餐,286
面馆,287
面馆,288
面馆,289
面馆,290
酸辣粉/北京炸酱面,291
盖浇饭/面馆,292
兰州拉面,293
馄饨抄手/重庆小面,294
面馆/其他快餐,295
面馆,296
兰州拉面/面馆,297
面馆,298
其他小吃,299
烧烤/其他小吃,300
串串香,301
肠粉,302
卤味熟食/卤煮/炒肝,303
其他小吃,304
小龙虾/其他小吃,305
韩国料理/其他小吃,306
肠粉/其他小吃,307
其他快餐/其他小吃,308
烧腊饭/其他小吃,309
串串香,310
肠粉,311
肠粉,312
凉皮/凉粉,313
奶茶果汁/其他小吃,314
其他小吃,315
花甲粉,316
其他小吃/肠粉,317
甜品/其他小吃,318
串串香/麻辣烫/关东煮,319
章鱼小丸子,320
螺蛳粉/其他小吃,321
